arm,path,depth,seed,residual_mode,init_scale,bias_magnitude,recenter,alpha0,init_loss,final_loss,test_acc,grad_ratio,bdisp_mean,drift_final,alpha_mean,alpha_max
rezero_a0,sequential,50,3,rezero,1.0,1.0,false,0.0,0.94540465,0.32499728,0.637,2.882637e11,1.3397637e-10,6.6988184e-9,-0.012803019,0.16866758
rezero_warm,sequential,2,1,rezero,1.0,1.0,false,0.1,0.9939933,0.45568663,0.4955,7.3453965,0.020661805,0.033488713,0.32428792,0.3561572
rezero_warm,sequential,2,2,rezero,1.0,1.0,false,0.1,0.9881178,0.43697926,0.5515,6.453278,0.021904398,0.035829864,0.32108468,0.36396545
rezero_warm,sequential,2,3,rezero,1.0,1.0,false,0.1,1.028265,0.4654,0.506,13.563973,0.02124524,0.03601684,0.30974543,0.3261637
rezero_warm,sequential,8,1,rezero,1.0,1.0,false,0.1,0.98191035,0.4183577,0.543,5.0950623,0.02023532,0.07219509,0.25029016,0.35294682
rezero_warm,sequential,8,2,rezero,1.0,1.0,false,0.1,1.0398626,0.4175802,0.6095,9.62194,0.020314682,0.07291584,0.24775521,0.35822567
rezero_warm,sequential,8,3,rezero,1.0,1.0,false,0.1,1.0310881,0.37212405,0.596,12.17986,0.020268962,0.06855362,0.25691837,0.35418046
rezero_warm,sequential,20,1,rezero,1.0,1.0,false,0.1,1.0445988,0.35500383,0.6465,7.446007,0.02021928,0.11829591,0.16380458,0.35017547
rezero_warm,sequential,20,2,rezero,1.0,1.0,false,0.1,1.0055245,0.29859707,0.661,11.237186,0.019931283,0.11370613,0.17961523,0.310917
rezero_warm,sequential,20,3,rezero,1.0,1.0,false,0.1,0.9968696,0.28495553,0.67,9.270114,0.01951032,0.10767202,0.18233944,0.28686088
rezero_warm,sequential,50,1,rezero,1.0,1.0,false,0.1,1.0064259,0.2425415,0.68,11.017588,0.01998991,0.16908248,0.12325065,0.2549082
rezero_warm,sequential,50,2,rezero,1.0,1.0,false,0.1,0.9674618,0.23718145,0.716,20.77399,0.019925868,0.17373398,0.115227126,0.2539283
rezero_warm,sequential,50,3,rezero,1.0,1.0,false,0.1,0.9602504,0.21004452,0.7065,12.395813,0.019703507,0.1737652,0.11487303,0.2005441
rezero_warm_g,sequential,2,1,rezero,0.1,1.0,false,0.1,0.9969896,0.43493775,0.567,16.15101,0.0008474862,0.0011174,0.33459085,0.3573486
rezero_warm_g,sequential,2,2,rezero,0.1,1.0,false,0.1,0.9892814,0.43327332,0.587,21.202137,0.00092488265,0.00136365,0.33634353,0.36954919
rezero_warm_g,sequential,2,3,rezero,0.1,1.0,false,0.1,1.0378078,0.4306896,0.5635,23.921146,0.00081106427,0.0011530884,0.333933,0.35233316
rezero_warm_g,sequential,8,1,rezero,0.1,1.0,false,0.1,1.0007622,0.35051864,0.6435,15.473149,0.00087990373,0.002361215,0.25216752,0.35314113
rezero_warm_g,sequential,8,2,rezero,0.1,1.0,false,0.1,1.0355966,0.35559806,0.643,17.986889,0.0009171044,0.00282748,0.25129652,0.3788215
rezero_warm_g,sequential,8,3,rezero,0.1,1.0,false,0.1,1.0409417,0.34572148,0.64,24.600576,0.00091375725,0.0024521414,0.26587746,0.3599107
rezero_warm_g,sequential,20,1,rezero,0.1,1.0,false,0.1,1.0253893,0.22994216,0.683,12.126554,0.0008758367,0.0039301487,0.18562879,0.3156731
rezero_warm_g,sequential,20,2,rezero,0.1,1.0,false,0.1,1.0021875,0.20758557,0.6885,25.621208,0.0009178828,0.0041195443,0.18860805,0.301633
rezero_warm_g,sequential,20,3,rezero,0.1,1.0,false,0.1,0.98301286,0.20799497,0.699,19.097593,0.00092401635,0.00439453,0.17493515,0.3178473
rezero_warm_g,sequential,50,1,rezero,0.1,1.0,false,0.1,1.0054145,0.19492687,0.6825,17.916931,0.00087928376,0.006571314,0.1590244,0.2708998
rezero_warm_g,sequential,50,2,rezero,0.1,1.0,false,0.1,0.98603845,0.18716136,0.724,22.093384,0.000924723,0.0067565986,0.15973237,0.2830857
rezero_warm_g,sequential,50,3,rezero,0.1,1.0,false,0.1,0.94620466,0.19816004,0.671,18.572382,0.0009258385,0.0069339056,0.15784493,0.28849405
