depth,seed,init_loss,final_loss,test_acc
2,1,2.6523693,0.310712,0.8395
2,2,2.5484524,0.32406378,0.8365
2,3,2.8180332,0.2975826,0.839
8,1,3.1680193,0.26559144,0.8365
8,2,2.8563328,0.26989096,0.846
8,3,2.9579165,0.28926092,0.847
20,1,2.6217625,0.27015087,0.8365
20,2,2.6099386,0.25272474,0.855
20,3,2.9635074,0.28951624,0.8415
50,1,2.8107984,0.3345781,0.834
50,2,2.7580318,0.28809685,0.8275
50,3,2.6056128,0.30048212,0.838
