eps,omega_p,n_cycles,readout,jitter,kmode,project,rep,cos,cos_l1,cos_l2,relerr_l1,resid,steps,cycles,gitrev
0.03,0.02,2,0.0,0.25,zero,soft,2,-0.003479178453447615,0.0017695006930605413,-0.003479178453447615,271.5806345721634,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,2,0.01,0.0,zero,hard,1,0.11948093385218544,0.11948093385218544,0.2528412880865484,10.42725421617381,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,4.0,zero,hard,7,0.11092951641296189,0.11092951641296189,0.2536257290881792,10.390021744937242,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.01,0.0,zero,hard,1,0.2036029328647522,0.2036029328647522,0.6455135158520937,2.820313643644146,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.0,1.0,zero,hard,4,-0.008278967162050484,-0.0015923920717060744,-0.008278967162050484,428.8588326455587,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.02,2,0.02,1.0,zero,soft,5,-0.057895716983966845,-0.057895716983966845,0.07098673873469453,320.16713136097167,0.00077848433,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,8,0.02,0.25,zero,hard,4,0.0817069237188087,0.0817069237188087,0.11546919402592122,10.065347259941682,1.708457e-5,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.02,4.0,zero,hard,7,0.030920502757366266,0.04020317803816594,0.030920502757366266,1972.3438818724906,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.05,8,0.005,4.0,zero,hard,7,0.2870543704644046,0.2870543704644046,0.6867503601398702,2.616029687120365,5.042856e-5,2459,1229.5,5ef5c11-d91a027d8
0.03,0.05,8,0.005,0.0,zero,hard,1,0.15392408688137682,0.15392408688137682,0.35247081760413623,6.671835660613943,0.00032680426,2459,1229.5,5ef5c11-d91a027d8
0.003,0.05,2,0.02,0.0,zero,hard,1,0.01530066901029056,0.01530066901029056,0.0946968187919852,10.466552955601136,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.3,0.05,2,0.0,1.0,zero,hard,4,-0.00824896824099064,-0.0015919387402075292,-0.00824896824099064,42.898616280545426,1.708457e-5,953,476.5,5ef5c11-d91a027d8
0.3,0.02,2,0.0,0.25,zero,soft,2,0.00224608701394081,0.004362669496803587,0.00224608701394081,27.171982517226823,8.953138e-5,2084,1042.0,5ef5c11-d91a027d8
0.03,0.05,2,0.02,0.0,zero,hard,1,0.06550904881236366,0.06550904881236366,0.2473224342851373,14.554741731812934,0.00032680426,953,476.5,5ef5c11-d91a027d8
0.03,0.05,2,0.02,4.0,zero,hard,7,0.040384341631404606,0.0432551412105122,0.040384341631404606,197.25526853779684,5.042856e-5,953,476.5,5ef5c11-d91a027d8
0.003,0.05,2,0.005,1.0,zero,hard,4,-0.004413865220121992,0.022403764759439452,-0.004413865220121992,138.86058278700804,1.708457e-5,953,476.5,5ef5c11-d91a027d8
