path,depth,use_bias,use_residual,seed,init_loss,final_loss,test_acc,grad_encoder,grad_last,grad_ratio,grad_min,grad_max,n_params
sequential,4,false,true,3,1.0160252,0.3780595,0.5995,3.1205785,0.24099852,12.948538,0.24099852,3.1205785,18496
sequential,4,true,true,1,0.95990664,0.23230602,0.704,1.3629403,0.26443294,5.1542,0.26443294,1.7669495,19136
sequential,4,true,true,2,1.0104328,0.20370163,0.6765,0.76265794,0.25841334,2.9513102,0.25841334,0.76265794,19136
sequential,4,true,true,3,0.99799466,0.21574983,0.6965,1.0071774,0.23813196,4.2294927,0.23813196,1.1078869,19136
sequential,5,false,false,1,0.9619304,0.24119343,0.644,4.225503,0.36036214,11.725713,0.36036214,4.225503,22656
sequential,5,false,false,2,0.96410763,0.2232963,0.619,2.8195817,0.4346358,6.487229,0.4346358,2.8195817,22656
sequential,5,false,false,3,1.0331186,0.23394893,0.6045,2.630582,0.3805386,6.9127865,0.3805386,2.630582,22656
sequential,5,true,false,1,0.9553182,0.24496397,0.7,0.42315322,0.32800478,1.2900825,0.32800478,0.7803677,23424
sequential,5,true,false,2,1.0040475,0.25799212,0.653,1.1201962,0.48158175,2.326077,0.36862028,1.1201962,23424
sequential,5,true,false,3,1.058634,0.23373972,0.6435,0.45075765,0.33710867,1.3371286,0.3138622,0.6004992,23424
sequential,5,false,true,1,1.0089033,0.9995166,0.1085,6.6890416,0.19535843,34.23984,0.19535843,6.6890416,22656
sequential,5,false,true,2,0.99334824,0.9547408,0.104,6.040918,0.19494101,30.98844,0.19494101,6.040918,22656
sequential,5,false,true,3,0.97379,0.93639416,0.1565,4.2877784,0.21165305,20.258524,0.21165305,4.2877784,22656
sequential,5,true,true,1,0.9980255,0.22919495,0.6965,1.6760695,0.2307835,7.2625184,0.2307835,2.548228,23424
sequential,5,true,true,2,1.0048258,0.18340768,0.7075,1.5186695,0.27765194,5.469688,0.27765194,1.5186695,23424
sequential,5,true,true,3,1.0469754,0.22995153,0.694,1.211474,0.19064546,6.3545914,0.19064546,1.8238677,23424
sequential,6,false,false,1,1.0020888,0.28026515,0.595,3.936955,0.3310647,11.891799,0.3310647,3.936955,26816
sequential,6,false,false,2,1.0037469,0.2323938,0.608,2.434054,0.35378873,6.8799644,0.35378873,2.434054,26816
sequential,6,false,false,3,0.9993442,0.23160768,0.6335,3.8003643,0.4069012,9.339771,0.4069012,3.8003643,26816
sequential,6,true,false,1,0.9445818,0.29161435,0.62,0.3458247,0.16443808,2.1030693,0.16443808,0.560592,27712
sequential,6,true,false,2,0.9840143,0.2565923,0.659,2.1940908,0.40870893,5.3683457,0.40870893,2.1940908,27712
sequential,6,true,false,3,0.9323715,0.24163027,0.605,1.0440958,0.37356368,2.7949605,0.28243938,1.4048164,27712
sequential,6,false,true,1,0.99566776,0.9495456,0.1,11.074095,0.24585988,45.0423,0.24585988,11.074095,26816
sequential,6,false,true,2,0.98803496,1.0722541,0.101,18.134066,0.19863856,91.29177,0.19863856,18.134066,26816
sequential,6,false,true,3,1.0030819,1.0107465,0.0905,11.085286,0.21689664,51.108612,0.21689664,12.918112,26816
sequential,6,true,true,1,0.9690363,0.2421116,0.645,2.3169408,0.16521786,14.023549,0.16521786,2.7292078,27712
sequential,6,true,true,2,1.0195297,0.22352162,0.69,2.1449704,0.14643781,14.647655,0.14643781,2.1449704,27712
sequential,6,true,true,3,1.0009935,0.19531277,0.682,1.8720013,0.16167307,11.578931,0.16167307,1.8720013,27712
