path,depth,use_bias,use_residual,seed,layer_index,grad_norm
static,4,true,true,1,3,0.3570238
static,4,true,true,1,4,0.2294503
static,4,true,true,1,5,0.20187643
static,4,true,true,2,1,5.6582866
static,4,true,true,2,2,0.8705308
static,4,true,true,2,3,0.56956697
static,4,true,true,2,4,0.33814046
static,4,true,true,2,5,0.14725177
static,4,true,true,3,1,3.9396405
static,4,true,true,3,2,1.149658
static,4,true,true,3,3,0.4118013
static,4,true,true,3,4,0.20475143
static,4,true,true,3,5,0.14137273
static,5,false,false,1,1,36.76481
static,5,false,false,1,2,3.3894658
static,5,false,false,1,3,1.7081606
static,5,false,false,1,4,0.9917663
static,5,false,false,1,5,0.5022445
static,5,false,false,1,6,0.23444933
static,5,false,false,2,1,20.176203
static,5,false,false,2,2,4.201186
static,5,false,false,2,3,2.1058075
static,5,false,false,2,4,1.0912443
static,5,false,false,2,5,0.8696153
static,5,false,false,2,6,0.22539258
static,5,false,false,3,1,11.554764
static,5,false,false,3,2,2.3245785
static,5,false,false,3,3,1.4937202
static,5,false,false,3,4,0.85591567
static,5,false,false,3,5,0.48973277
static,5,false,false,3,6,0.2601634
static,5,true,false,1,1,3.0693104
static,5,true,false,1,2,0.6203248
static,5,true,false,1,3,0.5508511
static,5,true,false,1,4,0.42727357
static,5,true,false,1,5,0.3361634
static,5,true,false,1,6,0.26197067
static,5,true,false,2,1,1.9445804
static,5,true,false,2,2,0.5088356
static,5,true,false,2,3,0.47001824
static,5,true,false,2,4,0.3236458
static,5,true,false,2,5,0.341516
static,5,true,false,2,6,0.33230674
static,5,true,false,3,1,3.2405055
static,5,true,false,3,2,0.9673802
static,5,true,false,3,3,0.87490153
static,5,true,false,3,4,0.34951365
static,5,true,false,3,5,0.26582322
static,5,true,false,3,6,0.22051726
static,5,false,true,1,1,56.074833
static,5,false,true,1,2,4.4571004
static,5,false,true,1,3,2.2169192
static,5,false,true,1,4,0.9372546
static,5,false,true,1,5,0.51858574
static,5,false,true,1,6,0.19923542
static,5,false,true,2,1,48.90634
static,5,false,true,2,2,9.595022
static,5,false,true,2,3,3.0064232
static,5,false,true,2,4,1.1492945
static,5,false,true,2,5,0.52247816
static,5,false,true,2,6,0.18428002
static,5,false,true,3,1,26.984789
static,5,false,true,3,2,5.4649606
static,5,false,true,3,3,3.0209389
static,5,false,true,3,4,1.0592862
static,5,false,true,3,5,0.43013233
