path,depth,use_bias,use_residual,seed,init_loss,final_loss,test_acc,grad_encoder,grad_last,grad_ratio,grad_min,grad_max,n_params
static,4,true,true,3,0.9874617,0.13220482,0.773,3.9396405,0.14137273,27.867048,0.14137273,3.9396405,69088
static,5,false,false,1,0.97969115,0.20956661,0.62,36.76481,0.23444933,156.81345,0.23444933,36.76481,72608
static,5,false,false,2,1.0182414,0.18565318,0.6715,20.176203,0.22539258,89.51582,0.22539258,20.176203,72608
static,5,false,false,3,0.9857614,0.19893245,0.6865,11.554764,0.2601634,44.413486,0.2601634,11.554764,72608
static,5,true,false,1,0.97024244,0.18480685,0.685,3.0693104,0.26197067,11.716237,0.26197067,3.0693104,73376
static,5,true,false,2,0.9907897,0.11760168,0.7475,1.9445804,0.33230674,5.8517632,0.3236458,1.9445804,73376
static,5,true,false,3,1.0655876,0.17909376,0.592,3.2405055,0.22051726,14.69502,0.22051726,3.2405055,73376
static,5,false,true,1,0.99784434,0.9706132,0.098,56.074833,0.19923542,281.4501,0.19923542,56.074833,72608
static,5,false,true,2,1.0100012,0.9512915,0.11,48.90634,0.18428002,265.39145,0.18428002,48.90634,72608
static,5,false,true,3,1.0090584,1.0085356,0.094,26.984789,0.19401743,139.08435,0.19401743,26.984789,72608
static,5,true,true,1,0.9823141,0.21656372,0.7595,5.1447406,0.16634826,30.927528,0.16634826,5.1447406,73376
static,5,true,true,2,1.0189037,0.266931,0.7685,10.639088,0.13093655,81.25377,0.13093655,10.639088,73376
static,5,true,true,3,1.0016797,0.19492416,0.7425,4.779948,0.12980427,36.824276,0.12980427,4.779948,73376
static,6,false,false,1,0.9840698,0.2683936,0.65,67.30684,0.23255445,289.424,0.23255445,67.30684,76768
static,6,false,false,2,1.0299599,0.2653398,0.592,28.14918,0.23211636,121.27185,0.23211636,28.14918,76768
static,6,false,false,3,1.0112908,0.28402722,0.676,56.71561,0.32564738,174.16264,0.32564738,56.71561,76768
static,6,true,false,1,0.9465723,0.15367346,0.715,2.4577327,0.18011974,13.644994,0.17796731,2.4577327,77664
static,6,true,false,2,1.0201521,0.17007239,0.7335,6.727668,0.30419198,22.11652,0.30419198,6.727668,77664
static,6,true,false,3,0.9166851,0.114220016,0.7425,3.4403634,0.23552783,14.607036,0.23552783,3.4403634,77664
static,6,false,true,1,1.0072305,0.9801722,0.1065,58.43763,0.22767833,256.6675,0.22767833,58.43763,76768
static,6,false,true,2,0.9938121,1.0718663,0.0995,83.83619,0.26514417,316.19095,0.26514417,83.83619,76768
static,6,false,true,3,0.9945788,1.0244498,0.104,61.876625,0.21307929,290.3925,0.21307929,61.876625,76768
static,6,true,true,1,0.9879,0.25871143,0.7255,14.177151,0.1346481,105.29039,0.1346481,14.177151,77664
static,6,true,true,2,0.9846696,0.2533211,0.72,11.035887,0.12970923,85.08174,0.12970923,11.035887,77664
static,6,true,true,3,1.0055199,0.24328026,0.676,8.489827,0.13968319,60.779163,0.13968319,8.489827,77664
static,7,false,false,1,0.98330915,0.27785707,0.539,213.61172,0.25930247,823.79364,0.25930247,213.61172,80928
static,7,false,false,2,0.99304235,0.30882084,0.5675,72.59961,0.25051755,289.7985,0.25051755,72.59961,80928
static,7,false,false,3,1.0124862,0.24838269,0.584,67.05376,0.3351579,200.06616,0.3351579,67.05376,80928
static,7,true,false,1,1.0095074,0.20185214,0.6625,3.8142843,0.563471,6.769264,0.22603445,3.8142843,81952
static,7,true,false,2,0.9851865,0.2152379,0.695,5.0032554,0.30937997,16.171879,0.30937997,5.0032554,81952
static,7,true,false,3,0.97916013,0.25033432,0.6465,3.7033758,0.2828456,13.093278,0.2828456,3.7033758,81952
static,7,false,true,1,0.9898643,1.0148168,0.099,187.35986,0.19361971,967.6694,0.19361971,187.35986,80928
static,7,false,true,2,1.0043776,0.9976526,0.0965,174.17032,0.18567638,938.0316,0.18567638,174.17032,80928
static,7,false,true,3,1.0057083,1.0183531,0.0975,101.0869,0.19748186,511.87943,0.19748186,101.0869,80928
static,7,true,true,1,1.0296946,0.33580595,0.6695,13.353087,0.12124481,110.13327,0.12124481,13.353087,81952
static,7,true,true,2,0.99146664,0.351839,0.6725,39.231,0.17281948,227.00565,0.17281948,39.231,81952
static,7,true,true,3,1.0109141,0.3020961,0.6595,14.009678,0.14740576,95.04159,0.14740576,14.009678,81952
static,8,false,false,1,1.0076144,0.33943543,0.5375,276.02563,0.25588486,1078.7103,0.25588486,276.02563,85088
static,8,false,false,2,1.0015174,0.29873723,0.555,111.13202,0.25585613,434.35355,0.25585613,111.13202,85088
static,8,false,false,3,1.0137944,0.26829857,0.4855,151.56076,0.214063,708.0194,0.214063,151.56076,85088
static,8,true,false,1,0.99405444,0.20740731,0.61,9.291425,0.3271966,28.39707,0.3271966,9.291425,86240
static,8,true,false,2,0.9339076,0.24986042,0.578,6.5128207,0.2750287,23.680513,0.2750287,6.5128207,86240
static,8,true,false,3,1.0560787,0.19951764,0.607,8.446203,0.5457982,15.4749565,0.38481295,8.446203,86240
static,8,false,true,1,1.009061,1.0105733,0.1055,398.50305,0.5020084,793.8175,0.5020084,398.50305,85088
static,8,false,true,2,0.98298407,0.9764389,0.1005,402.18283,0.2193961,1833.1357,0.2193961,402.18283,85088
static,8,false,true,3,0.9946381,0.92669356,0.107,317.30835,0.1814393,1748.8403,0.1814393,317.30835,85088
static,8,true,true,1,1.0008303,0.67866623,0.449,20.465164,0.14543219,140.71964,0.14543219,20.465164,86240
static,8,true,true,2,1.0099345,0.58929646,0.6105,53.42955,0.1169718,456.77292,0.1169718,53.42955,86240
static,8,true,true,3,1.0231726,0.5223179,0.5695,44.895344,0.12614363,355.90652,0.12614363,44.895344,86240
static,9,false,false,1,0.9866957,0.32155547,0.4965,236.10045,0.23101398,1022.018,0.23101398,236.10045,89248
static,9,false,false,2,0.9738957,0.3331963,0.4705,240.60396,0.2146555,1120.8842,0.2146555,240.60396,89248
static,9,false,false,3,0.9919096,0.30491447,0.5315,224.10309,0.19966798,1122.3788,0.19966798,224.10309,89248
static,9,true,false,1,0.997783,0.19894126,0.499,18.570707,0.2841766,65.34918,0.2841766,18.570707,90528
static,9,true,false,2,0.9326793,0.23926085,0.704,76.88096,0.67113394,114.553825,0.6032852,76.88096,90528
static,9,true,false,3,0.96419287,0.24830687,0.6555,13.49866,0.37896928,35.619404,0.37896928,13.49866,90528
static,9,false,true,1,0.9967034,1.0308076,0.106,640.03625,0.21868467,2926.7542,0.21868467,640.03625,89248
static,9,false,true,2,1.0060306,1.1021353,0.1035,772.26483,0.18857798,4095.2014,0.18857798,772.26483,89248
static,9,false,true,3,1.0011753,0.9416405,0.088,761.7137,0.23154509,3289.6992,0.23154509,761.7137,89248
static,9,true,true,1,0.9991063,0.9248284,0.2965,27.877014,0.10814746,257.76855,0.10814746,27.877014,90528
static,9,true,true,2,0.9865021,0.89296174,0.164,53.505405,0.14318174,373.68875,0.14318174,53.505405,90528
static,9,true,true,3,1.0055015,0.9455068,0.172,48.532215,0.17690887,274.33456,0.17690887,48.532215,90528
static,10,false,false,1,1.0008898,0.39990404,0.491,712.05664,0.25421527,2800.9988,0.25421527,712.05664,93408
static,10,false,false,2,1.0034708,0.35040087,0.395,316.27014,0.20120506,1571.8796,0.20120506,316.27014,93408
static,10,false,false,3,0.99305785,0.38453946,0.3825,269.06192,0.18822934,1429.4366,0.18822934,269.06192,93408
static,10,true,false,1,1.0151968,0.24144149,0.5535,20.612337,0.2699422,76.35834,0.2699422,20.612337,94816
static,10,true,false,2,0.95414376,0.20852035,0.577,53.83702,0.30373076,177.25246,0.30373076,53.83702,94816
static,10,true,false,3,1.0300238,0.32217723,0.5855,14.620472,0.6615045,22.101849,0.6615045,14.620472,94816
static,10,false,true,1,1.0083098,1.0315739,0.1095,2665.6333,0.23705861,11244.617,0.23705861,2665.6333,93408
static,10,false,true,2,0.9900006,0.94292665,0.0965,2744.4287,0.308775,8888.118,0.308775,2744.4287,93408
static,10,false,true,3,0.99602276,0.97406346,0.102,2175.6838,0.21738891,10008.256,0.21738891,2175.6838,93408
static,10,true,true,1,1.0239184,1.0012591,0.0985,31.76916,0.124035686,256.12918,0.124035686,31.76916,94816
static,10,true,true,2,1.004678,0.94399464,0.1215,148.71883,0.16547136,898.7587,0.16547136,148.71883,94816
static,10,true,true,3,1.0076945,0.988831,0.127,71.12051,0.1520479,467.75067,0.1520479,71.12051,94816
static,15,false,false,1,0.9924611,0.56983507,0.2155,34836.285,0.23979634,145274.47,0.23979634,34836.285,114208
static,15,false,false,2,0.99899554,0.6591487,0.1535,17196.424,0.25081638,68561.805,0.25081638,17196.424,114208
static,15,false,false,3,0.98657703,0.55864406,0.254,4773.633,0.20906703,22833.025,0.20906703,4773.633,114208
static,15,true,false,1,1.023252,0.25539425,0.3835,93.08738,0.25192234,369.50824,0.19883749,93.08738,116256
static,15,true,false,2,1.0111252,0.28486332,0.4985,95.94014,0.3456587,277.55743,0.24131742,95.94014,116256
static,15,true,false,3,0.9728519,0.27743024,0.567,97.10937,0.33337358,291.29294,0.24129072,97.10937,116256
static,15,false,true,1,1.0158464,1.009068,0.0945,73906.51,0.22581623,327286.06,0.22581623,73906.51,114208
static,15,false,true,2,1.0014268,1.027832,0.1085,214701.16,0.19080961,1.1252115e6,0.19080961,214701.16,114208
static,15,false,true,3,1.0004661,1.0507588,0.1095,58029.344,0.22518772,257693.2,0.22518772,58029.344,114208
static,15,true,true,1,1.0136261,1.0524455,0.0985,621.70844,0.1298286,4788.686,0.1298286,621.70844,116256
static,15,true,true,2,0.9933529,1.0028508,0.098,776.67725,0.11564165,6716.241,0.11564165,776.67725,116256
static,15,true,true,3,0.99588466,1.0292553,0.0985,593.1082,0.13809748,4294.852,0.13809748,593.1082,116256
static,20,false,false,1,0.99373126,0.66583484,0.177,412398.2,0.23872526,1.7275012e6,0.23872526,412398.2,135008
static,20,false,false,2,1.0191021,0.7164012,0.1385,157581.9,0.23719338,664360.5,0.23719338,157581.9,135008
static,20,false,false,3,1.0192257,0.60369873,0.114,83656.695,0.17631128,474482.94,0.17631128,83656.695,135008
static,20,true,false,1,0.9838662,0.30292302,0.309,1786.5426,0.3849919,4640.468,0.3845497,1786.5426,137696
static,20,true,false,2,0.98564,0.35796386,0.2415,1353.1698,0.34286225,3946.6865,0.28541395,1353.1698,137696
static,20,true,false,3,1.0384883,0.5059459,0.2755,178.74974,0.2385087,749.44745,0.17760447,178.74974,137696
static,20,false,true,1,1.0309162,0.98159,0.105,1.5437532e6,0.27682367,5.5766665e6,0.27682367,1.5437532e6,135008
static,20,false,true,2,1.0037831,1.0318432,0.109,2.9475045e6,0.22682798,1.2994449e7,0.22682798,2.9475045e6,135008
static,20,false,true,3,0.9972201,1.0045948,0.101,1.7359075e6,0.2025283,8.571185e6,0.2025283,1.7359075e6,135008
static,20,true,true,1,1.006786,0.9709866,0.0995,5304.8555,0.2108381,25160.8,0.2108381,5304.8555,137696
static,20,true,true,2,1.0090921,0.99744093,0.0965,14615.054,0.111251846,131369.1,0.111251846,14615.054,137696
static,20,true,true,3,0.99444246,0.9883374,0.099,14037.058,0.12973881,108194.75,0.12973881,14037.058,137696
static,25,false,false,1,0.98442185,0.7943829,0.1,1.4128486e7,0.19420955,7.274867e7,0.19420955,1.4128486e7,155808
static,25,false,false,2,0.9749289,0.7841644,0.098,3.0169995e6,0.3129108,9.641724e6,0.3129108,3.0169995e6,155808
static,25,false,false,3,1.0095768,0.68961877,0.1235,8.389759e6,0.19480263,4.3067996e7,0.19480263,8.389759e6,155808
static,25,true,false,1,1.0123655,0.41904026,0.2065,4772.709,0.33945158,14060.059,0.27660412,4772.709,159136
static,25,true,false,2,0.97316146,0.36923447,0.188,3377.4922,0.24959597,13531.838,0.24959597,3377.4922,159136
static,25,true,false,3,0.9612538,0.45192158,0.2305,2742.5396,0.23327054,11756.905,0.23327054,2742.5396,159136
static,25,false,true,1,1.0017164,0.9709654,0.1075,7.640082e7,0.19263628,3.966066e8,0.19263628,7.640082e7,155808
static,25,false,true,2,0.9943324,1.0096599,0.1065,4.2539123e8,0.24275358,1.7523583e9,0.24275358,4.2539123e8,155808
