path,depth,use_bias,use_residual,seed,layer_index,grad_norm
sequential,4,false,true,1,2,4.0527773
sequential,4,false,true,1,3,1.5687793
sequential,4,false,true,1,4,1.2278231
sequential,4,false,true,1,5,0.2715874
sequential,4,false,true,2,1,2.7563524
sequential,4,false,true,2,2,2.3222358
sequential,4,false,true,2,3,0.76928395
sequential,4,false,true,2,4,0.3897177
sequential,4,false,true,2,5,0.22134945
sequential,4,false,true,3,1,3.1205785
sequential,4,false,true,3,2,2.3405764
sequential,4,false,true,3,3,1.1959363
sequential,4,false,true,3,4,0.4572893
sequential,4,false,true,3,5,0.24099852
sequential,4,true,true,1,1,1.3629403
sequential,4,true,true,1,2,1.7669495
sequential,4,true,true,1,3,1.0039357
sequential,4,true,true,1,4,0.4922208
sequential,4,true,true,1,5,0.26443294
sequential,4,true,true,2,1,0.76265794
sequential,4,true,true,2,2,0.6956931
sequential,4,true,true,2,3,0.58395445
sequential,4,true,true,2,4,0.3820442
sequential,4,true,true,2,5,0.25841334
sequential,4,true,true,3,1,1.0071774
sequential,4,true,true,3,2,1.1078869
sequential,4,true,true,3,3,1.0148468
sequential,4,true,true,3,4,0.30053344
sequential,4,true,true,3,5,0.23813196
sequential,5,false,false,1,1,4.225503
sequential,5,false,false,1,2,2.5394745
sequential,5,false,false,1,3,1.2558025
sequential,5,false,false,1,4,0.8255645
sequential,5,false,false,1,5,0.44069427
sequential,5,false,false,1,6,0.36036214
sequential,5,false,false,2,1,2.8195817
sequential,5,false,false,2,2,1.4186585
sequential,5,false,false,2,3,0.8990282
sequential,5,false,false,2,4,0.7091974
sequential,5,false,false,2,5,0.5483297
sequential,5,false,false,2,6,0.4346358
sequential,5,false,false,3,1,2.630582
sequential,5,false,false,3,2,1.8815366
sequential,5,false,false,3,3,1.6463871
sequential,5,false,false,3,4,0.8673543
sequential,5,false,false,3,5,0.53899056
sequential,5,false,false,3,6,0.3805386
sequential,5,true,false,1,1,0.42315322
sequential,5,true,false,1,2,0.7100127
sequential,5,true,false,1,3,0.7803677
sequential,5,true,false,1,4,0.70635694
sequential,5,true,false,1,5,0.77742374
sequential,5,true,false,1,6,0.32800478
sequential,5,true,false,2,1,1.1201962
sequential,5,true,false,2,2,0.6136824
sequential,5,true,false,2,3,0.48937064
sequential,5,true,false,2,4,0.36862028
sequential,5,true,false,2,5,0.46274242
sequential,5,true,false,2,6,0.48158175
sequential,5,true,false,3,1,0.45075765
sequential,5,true,false,3,2,0.6004992
sequential,5,true,false,3,3,0.5951151
sequential,5,true,false,3,4,0.35993665
sequential,5,true,false,3,5,0.3138622
sequential,5,true,false,3,6,0.33710867
sequential,5,false,true,1,1,6.6890416
sequential,5,false,true,1,2,3.425072
sequential,5,false,true,1,3,1.4851242
sequential,5,false,true,1,4,1.1900256
sequential,5,false,true,1,5,0.4522799
sequential,5,false,true,1,6,0.19535843
sequential,5,false,true,2,1,6.040918
sequential,5,false,true,2,2,4.17526
sequential,5,false,true,2,3,1.2817609
sequential,5,false,true,2,4,0.69458574
sequential,5,false,true,2,5,0.39798367
sequential,5,false,true,2,6,0.19494101
sequential,5,false,true,3,1,4.2877784
sequential,5,false,true,3,2,2.6732652
sequential,5,false,true,3,3,1.7000655
sequential,5,false,true,3,4,0.8079533
sequential,5,false,true,3,5,0.39747962
sequential,5,false,true,3,6,0.21165305
sequential,5,true,true,1,1,1.6760695
sequential,5,true,true,1,2,2.548228
sequential,5,true,true,1,3,1.5236675
sequential,5,true,true,1,4,0.54226667
sequential,5,true,true,1,5,0.30039632
sequential,5,true,true,1,6,0.2307835
sequential,5,true,true,2,1,1.5186695
sequential,5,true,true,2,2,1.1116548
sequential,5,true,true,2,3,1.0244793
sequential,5,true,true,2,4,0.76052916
sequential,5,true,true,2,5,0.37971896
sequential,5,true,true,2,6,0.27765194
sequential,5,true,true,3,1,1.211474
sequential,5,true,true,3,2,1.8238677
sequential,5,true,true,3,3,0.9704331
sequential,5,true,true,3,4,0.43046033
sequential,5,true,true,3,5,0.24390157
sequential,5,true,true,3,6,0.19064546
sequential,6,false,false,1,1,3.936955
sequential,6,false,false,1,2,2.4005005
sequential,6,false,false,1,3,1.3209112
sequential,6,false,false,1,4,1.0285951
sequential,6,false,false,1,5,0.56057906
sequential,6,false,false,1,6,0.5075797
sequential,6,false,false,1,7,0.3310647
sequential,6,false,false,2,1,2.434054
sequential,6,false,false,2,2,1.4668249
sequential,6,false,false,2,3,1.1738968
sequential,6,false,false,2,4,0.77713853
sequential,6,false,false,2,5,0.57310957
sequential,6,false,false,2,6,0.4589909
sequential,6,false,false,2,7,0.35378873
sequential,6,false,false,3,1,3.8003643
sequential,6,false,false,3,2,3.4251008
sequential,6,false,false,3,3,1.8863746
sequential,6,false,false,3,4,1.0572269
sequential,6,false,false,3,5,0.6099198
sequential,6,false,false,3,6,0.4975743
sequential,6,false,false,3,7,0.4069012
sequential,6,true,false,1,1,0.3458247
sequential,6,true,false,1,2,0.560592
sequential,6,true,false,1,3,0.4240748
sequential,6,true,false,1,4,0.39459342
sequential,6,true,false,1,5,0.23150769
sequential,6,true,false,1,6,0.25814536
sequential,6,true,false,1,7,0.16443808
sequential,6,true,false,2,1,2.1940908
sequential,6,true,false,2,2,0.98063827
sequential,6,true,false,2,3,0.9960312
sequential,6,true,false,2,4,0.62656313
sequential,6,true,false,2,5,0.52158785
sequential,6,true,false,2,6,0.5187877
sequential,6,true,false,2,7,0.40870893
sequential,6,true,false,3,1,1.0440958
sequential,6,true,false,3,2,1.4048164
sequential,6,true,false,3,3,0.63499385
sequential,6,true,false,3,4,0.37594235
sequential,6,true,false,3,5,0.28243938
sequential,6,true,false,3,6,0.3717318
sequential,6,true,false,3,7,0.37356368
sequential,6,false,true,1,1,11.074095
sequential,6,false,true,1,2,7.9348536
sequential,6,false,true,1,3,3.477906
sequential,6,false,true,1,4,4.0952992
sequential,6,false,true,1,5,0.98540604
sequential,6,false,true,1,6,0.41200447
sequential,6,false,true,1,7,0.24585988
sequential,6,false,true,2,1,18.134066
sequential,6,false,true,2,2,8.053129
sequential,6,false,true,2,3,3.3060846
sequential,6,false,true,2,4,1.5597566
sequential,6,false,true,2,5,0.8264387
sequential,6,false,true,2,6,0.41362184
sequential,6,false,true,2,7,0.19863856
sequential,6,false,true,3,1,11.085286
sequential,6,false,true,3,2,12.918112
sequential,6,false,true,3,3,2.94354
sequential,6,false,true,3,4,1.4758793
sequential,6,false,true,3,5,0.7923428
sequential,6,false,true,3,6,0.4479642
sequential,6,false,true,3,7,0.21689664
sequential,6,true,true,1,1,2.3169408
sequential,6,true,true,1,2,2.7292078
sequential,6,true,true,1,3,1.7175108
sequential,6,true,true,1,4,0.65074915
sequential,6,true,true,1,5,0.43213865
sequential,6,true,true,1,6,0.29075733
sequential,6,true,true,1,7,0.16521786
sequential,6,true,true,2,1,2.1449704
sequential,6,true,true,2,2,1.3409164
sequential,6,true,true,2,3,1.1029648
sequential,6,true,true,2,4,0.74141836
sequential,6,true,true,2,5,0.42289641
sequential,6,true,true,2,6,0.23797412
sequential,6,true,true,2,7,0.14643781
sequential,6,true,true,3,1,1.8720013
sequential,6,true,true,3,2,1.7069627
sequential,6,true,true,3,3,1.3711649
sequential,6,true,true,3,4,0.6210027
sequential,6,true,true,3,5,0.2916085
sequential,6,true,true,3,6,0.23042859
sequential,6,true,true,3,7,0.16167307
sequential,7,false,false,1,1,9.751467
sequential,7,false,false,1,2,8.799496
sequential,7,false,false,1,3,2.1204448
sequential,7,false,false,1,4,1.418132
sequential,7,false,false,1,5,0.95598304
sequential,7,false,false,1,6,0.5588104
sequential,7,false,false,1,7,0.4384712
sequential,7,false,false,1,8,0.36354378
sequential,7,false,false,2,1,2.5965657
sequential,7,false,false,2,2,3.4968848
sequential,7,false,false,2,3,2.0658565
sequential,7,false,false,2,4,1.4468794
sequential,7,false,false,2,5,1.1849552
sequential,7,false,false,2,6,0.77564484
sequential,7,false,false,2,7,0.5240217
sequential,7,false,false,2,8,0.35158643
sequential,7,false,false,3,1,4.704844
sequential,7,false,false,3,2,5.894779
sequential,7,false,false,3,3,2.7767653
sequential,7,false,false,3,4,1.8400781
sequential,7,false,false,3,5,1.0009887
