n_anchors,seed,acc,n_params,final_loss
4,1,0.4140625,22038,0.35544336
4,2,0.43229166,22038,0.34943122
8,1,0.390625,22422,0.35241452
8,2,0.39322916,22422,0.36474797
16,1,0.3984375,23190,0.3596016
16,2,0.3984375,23190,0.35453802
32,1,0.4453125,24726,0.35895953
32,2,0.421875,24726,0.3516022
64,1,0.44010416,27798,0.35184214
64,2,0.39322916,27798,0.3434539
