arm,path,depth,seed,residual_mode,init_scale,bias_magnitude,recenter,init_loss,final_loss,test_acc,grad_ratio,bdisp_mean,drift_final
rezero,sequential,50,1,rezero,1.0,1.0,false,1.0059845,0.36973783,0.5595,2.5810641e11,1.3799893e-10,6.8999464e-9
recenter,sequential,2,1,bind,1.0,1.0,true,0.9654272,0.33323392,0.6155,1.3231031,0.19970593,0.30759278
recenter,sequential,5,1,bind,1.0,1.0,true,1.0003937,0.30823895,0.683,9.598342,0.21115,0.4021737
recenter,sequential,8,1,bind,1.0,1.0,true,1.0356398,0.36523655,0.639,26.671608,0.20889775,0.4401525
recenter,sequential,10,1,bind,1.0,1.0,true,0.99481666,0.404272,0.5825,141.56078,0.21208939,0.4559959
recenter,sequential,12,1,bind,1.0,1.0,true,1.00435,0.98297447,0.119,607.2,0.21167795,0.4588557
recenter,sequential,15,1,bind,1.0,1.0,true,1.0019455,1.0142268,0.097,784.9201,0.2087524,0.46322867
recenter,sequential,20,1,bind,1.0,1.0,true,0.9848302,0.9841915,0.1105,35320.09,0.1999026,0.4625954
recenter,sequential,30,1,bind,1.0,1.0,true,0.9862417,0.99479973,0.1,3.6435252e7,0.18614994,0.46017674
recenter,sequential,50,1,bind,1.0,1.0,true,1.0079577,1.0235096,0.1045,4.708687e13,0.16956675,0.46367258
