depth,seed,init_loss,final_loss,test_acc
2,1,2.6523693,0.4257965,0.8285
5,1,2.6465986,0.39585784,0.8355
8,1,3.1680193,0.38446626,0.823
10,1,2.380013,0.3987142,0.8335
12,1,3.0404625,0.38650566,0.8295
15,1,2.7844663,0.4060741,0.831
20,1,2.6217625,0.3912912,0.833
30,1,2.682261,0.43814802,0.817
50,1,2.8107984,0.43512186,0.8175
