kind,treatment,depth,seed,n_params,init_loss,final_loss,test_acc,nan_loss,grad_w_ratio,grad_w_slope,grad_scale_mean,grad_anchor_mean,grad_alpha_mean,drift,circvar0,circvarD
local_cross,rezero,8,1,153432,1.0448883,NaN,NaN,false,3185.1821,-0.13210702,0.0011056853,0.037136793,0.085785255,0.13041376,0.8956197,0.89198637
local_cross,rezero,16,1,305008,0.9965943,NaN,NaN,false,33212.055,-0.11034951,0.019249998,0.5743054,0.728819,0.18431067,0.8956197,0.8960174
local_cross,rezero_recenter,1,1,20803,0.97434396,NaN,NaN,false,608.91016,-1.6190922,6.695214e-5,0.008673014,0.01341876,0.048723824,0.8956197,0.8963709
local_cross,rezero_recenter,2,1,39750,1.0031576,NaN,NaN,false,607.3672,-0.56419057,0.00015112523,0.012160758,0.027814638,0.06587423,0.8956197,0.89696705
local_cross,rezero_recenter,4,1,77644,1.0417738,NaN,NaN,false,893.38495,-0.23241182,0.0008616431,0.014903994,0.021497367,0.09202162,0.8956197,0.90225303
local_cross,rezero_recenter,8,1,153432,1.0428014,NaN,NaN,false,6663.136,-0.16065124,0.00314618,0.08254832,0.105682455,0.12944698,0.8956197,0.9011861
local_cross,rezero_recenter,16,1,305008,0.996219,NaN,NaN,false,220870.6,-0.12403988,0.027214805,0.7104729,1.3587205,0.18095006,0.8956197,0.9072073
ssm_self,old,1,1,22913,1.0359663,NaN,NaN,false,3.9518049,0.09507006,0.000108775894,NaN,NaN,0.5240583,0.8956197,0.9054605
ssm_self,old,2,1,43970,1.0342298,NaN,NaN,false,28.645435,-0.19978572,0.00080682826,NaN,NaN,0.50985557,0.8956197,0.88429385
ssm_self,old,4,1,86084,0.993596,NaN,NaN,false,644.3137,-0.26930127,0.023055233,NaN,NaN,0.49941874,0.8956197,0.8848802
ssm_self,old,8,1,170312,1.0019916,NaN,NaN,false,63530.594,-0.23741695,0.54741937,NaN,NaN,0.49570507,0.8956197,0.88883495
ssm_self,old,16,1,338768,1.0154337,NaN,NaN,false,1.0568082e12,-0.31776163,265583.7,NaN,NaN,0.49926534,0.8956197,0.8872911
ssm_self,downscaled_ffn,1,1,22913,1.0120041,NaN,NaN,false,35.059914,-0.4442701,6.732978e-5,NaN,NaN,0.51774794,0.8956197,0.92517185
ssm_self,downscaled_ffn,2,1,43970,0.9929066,NaN,NaN,false,123.42597,-0.26581147,0.00013478412,NaN,NaN,0.49148896,0.8956197,0.8951224
ssm_self,downscaled_ffn,4,1,86084,0.9952183,NaN,NaN,false,732.214,-0.19575243,0.0011519749,NaN,NaN,0.5040155,0.8956197,0.88716596
ssm_self,downscaled_ffn,8,1,170312,0.9965615,NaN,NaN,false,47680.87,-0.18144606,0.016117183,NaN,NaN,0.49885318,0.8956197,0.8889762
ssm_self,downscaled_ffn,16,1,338768,1.0204244,NaN,NaN,false,1.4343066e7,-0.16742241,4.9967346,NaN,NaN,0.49985012,0.8956197,0.8852783
ssm_self,rezero,1,1,22915,0.97897434,NaN,NaN,false,405.24594,-0.7948132,2.3892137e-5,NaN,0.0085459035,0.051752567,0.8956197,0.89461327
ssm_self,rezero,2,1,43974,1.0109608,NaN,NaN,false,278.2893,-0.20423199,2.4365192e-5,NaN,0.01740955,0.07159888,0.8956197,0.8950524
ssm_self,rezero,4,1,86092,1.0500377,NaN,NaN,false,555.50214,-0.0782148,2.2013173e-5,NaN,0.032303642,0.09845293,0.8956197,0.88962346
ssm_self,rezero,8,1,170328,1.0410635,NaN,NaN,false,224.50557,-0.03208458,3.577736e-5,NaN,0.020267265,0.13766745,0.8956197,0.87705654
ssm_self,rezero,16,1,338800,0.9820769,NaN,NaN,false,506.23135,-0.013132838,2.0596826e-5,NaN,0.010549368,0.20030726,0.8956197,0.87213033
ssm_self,rezero_recenter,1,1,22915,0.9803987,NaN,NaN,false,843.6538,-1.02141,4.486555e-5,NaN,0.016218655,0.05143127,0.8956197,0.89693844
ssm_self,rezero_recenter,2,1,43974,1.0176742,NaN,NaN,false,408.4512,-0.29249898,2.874832e-5,NaN,0.006707196,0.07300331,0.8956197,0.89687455
ssm_self,rezero_recenter,4,1,86092,1.04145,NaN,NaN,false,453.9911,-0.08883129,2.6270218e-5,NaN,0.012280489,0.10454084,0.8956197,0.8923682
ssm_self,rezero_recenter,8,1,170328,1.022126,NaN,NaN,false,895.0392,-0.055522244,8.12737e-5,NaN,0.027857715,0.14791986,0.8956197,0.89797866
ssm_self,rezero_recenter,16,1,338800,1.0115433,NaN,NaN,false,1684.5934,-0.02390053,0.00010470763,NaN,0.029050183,0.20311081,0.8956197,0.8923465
