arm,depth,seed,block_index,alpha
rezero_warm_g,50,2,23,0.15050223
rezero_warm_g,50,2,24,0.1470473
rezero_warm_g,50,2,25,0.1514017
rezero_warm_g,50,2,26,0.14618325
rezero_warm_g,50,2,27,0.15091932
rezero_warm_g,50,2,28,0.13674434
rezero_warm_g,50,2,29,0.16003042
rezero_warm_g,50,2,30,0.15077247
rezero_warm_g,50,2,31,0.14045481
rezero_warm_g,50,2,32,0.1467775
rezero_warm_g,50,2,33,0.14739719
rezero_warm_g,50,2,34,0.16669057
rezero_warm_g,50,2,35,0.15939172
rezero_warm_g,50,2,36,0.16315636
rezero_warm_g,50,2,37,0.17197692
rezero_warm_g,50,2,38,0.17076547
rezero_warm_g,50,2,39,0.1639166
rezero_warm_g,50,2,40,0.17470345
rezero_warm_g,50,2,41,0.18490553
rezero_warm_g,50,2,42,0.17594585
rezero_warm_g,50,2,43,0.1866413
rezero_warm_g,50,2,44,0.21937172
rezero_warm_g,50,2,45,0.22757508
rezero_warm_g,50,2,46,0.27001682
rezero_warm_g,50,2,47,0.28287435
rezero_warm_g,50,2,48,0.34243557
rezero_warm_g,50,2,49,0.2904255
rezero_warm_g,50,2,50,0.42276555
rezero_warm_g_aLR5,2,1,1,0.66720134
rezero_warm_g_aLR5,2,1,2,1.0129447
rezero_warm_g_aLR5,2,2,1,0.78083867
rezero_warm_g_aLR5,2,2,2,0.9979334
rezero_warm_g_aLR5,8,1,1,0.071063355
rezero_warm_g_aLR5,8,1,2,0.04900778
rezero_warm_g_aLR5,8,1,3,0.13471694
rezero_warm_g_aLR5,8,1,4,0.27549312
rezero_warm_g_aLR5,8,1,5,0.4735669
rezero_warm_g_aLR5,8,1,6,0.6765971
rezero_warm_g_aLR5,8,1,7,0.8452582
rezero_warm_g_aLR5,8,1,8,1.0163785
rezero_warm_g_aLR5,8,2,1,0.036494553
rezero_warm_g_aLR5,8,2,2,0.031887237
rezero_warm_g_aLR5,8,2,3,0.173693
rezero_warm_g_aLR5,8,2,4,0.3555995
rezero_warm_g_aLR5,8,2,5,0.36931154
rezero_warm_g_aLR5,8,2,6,0.75844556
rezero_warm_g_aLR5,8,2,7,0.95521164
rezero_warm_g_aLR5,8,2,8,0.9512754
rezero_warm_g_aLR5,20,1,1,0.038790934
rezero_warm_g_aLR5,20,1,2,0.025620257
rezero_warm_g_aLR5,20,1,3,0.03365197
rezero_warm_g_aLR5,20,1,4,0.038379513
rezero_warm_g_aLR5,20,1,5,0.06890859
rezero_warm_g_aLR5,20,1,6,0.07606968
rezero_warm_g_aLR5,20,1,7,0.15311208
rezero_warm_g_aLR5,20,1,8,0.2700322
rezero_warm_g_aLR5,20,1,9,0.20185149
rezero_warm_g_aLR5,20,1,10,0.30422705
rezero_warm_g_aLR5,20,1,11,0.2917921
rezero_warm_g_aLR5,20,1,12,0.3368624
rezero_warm_g_aLR5,20,1,13,0.33394018
rezero_warm_g_aLR5,20,1,14,0.24204142
rezero_warm_g_aLR5,20,1,15,0.31609014
rezero_warm_g_aLR5,20,1,16,0.2826431
rezero_warm_g_aLR5,20,1,17,0.44051272
rezero_warm_g_aLR5,20,1,18,0.3860242
rezero_warm_g_aLR5,20,1,19,0.7745399
rezero_warm_g_aLR5,20,1,20,1.0022438
rezero_warm_g_aLR5,20,2,1,0.06232646
rezero_warm_g_aLR5,20,2,2,0.15191104
rezero_warm_g_aLR5,20,2,3,0.06289697
rezero_warm_g_aLR5,20,2,4,0.12043695
rezero_warm_g_aLR5,20,2,5,0.16204393
rezero_warm_g_aLR5,20,2,6,0.104061164
rezero_warm_g_aLR5,20,2,7,0.19211468
rezero_warm_g_aLR5,20,2,8,0.23308419
rezero_warm_g_aLR5,20,2,9,0.29853147
rezero_warm_g_aLR5,20,2,10,0.23489764
rezero_warm_g_aLR5,20,2,11,0.26490512
rezero_warm_g_aLR5,20,2,12,0.35806578
rezero_warm_g_aLR5,20,2,13,0.3013958
rezero_warm_g_aLR5,20,2,14,0.30181313
rezero_warm_g_aLR5,20,2,15,0.32910568
rezero_warm_g_aLR5,20,2,16,0.3632074
rezero_warm_g_aLR5,20,2,17,0.46066123
rezero_warm_g_aLR5,20,2,18,0.5395957
rezero_warm_g_aLR5,20,2,19,0.8411665
rezero_warm_g_aLR5,20,2,20,1.0273936
rezero_warm_g_aLR5,50,1,1,0.078923054
rezero_warm_g_aLR5,50,1,2,0.08565356
rezero_warm_g_aLR5,50,1,3,0.14338294
rezero_warm_g_aLR5,50,1,4,0.090101026
rezero_warm_g_aLR5,50,1,5,0.051713727
rezero_warm_g_aLR5,50,1,6,0.2525803
rezero_warm_g_aLR5,50,1,7,0.25328967
rezero_warm_g_aLR5,50,1,8,0.22822942
rezero_warm_g_aLR5,50,1,9,0.1430206
rezero_warm_g_aLR5,50,1,10,0.022274647
rezero_warm_g_aLR5,50,1,11,0.1296146
rezero_warm_g_aLR5,50,1,12,0.17719151
rezero_warm_g_aLR5,50,1,13,0.004575205
rezero_warm_g_aLR5,50,1,14,0.15831688
rezero_warm_g_aLR5,50,1,15,0.14378077
rezero_warm_g_aLR5,50,1,16,0.16022699
rezero_warm_g_aLR5,50,1,17,0.17114598
rezero_warm_g_aLR5,50,1,18,0.153577
rezero_warm_g_aLR5,50,1,19,0.12575008
rezero_warm_g_aLR5,50,1,20,0.198462
rezero_warm_g_aLR5,50,1,21,0.17312174
rezero_warm_g_aLR5,50,1,22,0.13589884
rezero_warm_g_aLR5,50,1,23,0.16971298
rezero_warm_g_aLR5,50,1,24,0.1418363
rezero_warm_g_aLR5,50,1,25,0.15836376
rezero_warm_g_aLR5,50,1,26,0.15327884
rezero_warm_g_aLR5,50,1,27,0.110811055
rezero_warm_g_aLR5,50,1,28,0.18737273
rezero_warm_g_aLR5,50,1,29,0.19132666
rezero_warm_g_aLR5,50,1,30,0.17248897
rezero_warm_g_aLR5,50,1,31,0.17179805
rezero_warm_g_aLR5,50,1,32,0.21168907
rezero_warm_g_aLR5,50,1,33,0.17005368
rezero_warm_g_aLR5,50,1,34,0.20101604
rezero_warm_g_aLR5,50,1,35,0.21104746
rezero_warm_g_aLR5,50,1,36,0.17437994
rezero_warm_g_aLR5,50,1,37,0.19527163
rezero_warm_g_aLR5,50,1,38,0.21290809
rezero_warm_g_aLR5,50,1,39,0.25082028
rezero_warm_g_aLR5,50,1,40,0.24168448
rezero_warm_g_aLR5,50,1,41,0.3368588
rezero_warm_g_aLR5,50,1,42,0.30301544
rezero_warm_g_aLR5,50,1,43,0.22742042
rezero_warm_g_aLR5,50,1,44,0.31739005
rezero_warm_g_aLR5,50,1,45,0.32085505
rezero_warm_g_aLR5,50,1,46,0.43630004
rezero_warm_g_aLR5,50,1,47,0.44874778
rezero_warm_g_aLR5,50,1,48,0.8498302
rezero_warm_g_aLR5,50,1,49,0.82823676
rezero_warm_g_aLR5,50,1,50,1.0529372
rezero_warm_g_aLR5,50,2,1,0.07958564
rezero_warm_g_aLR5,50,2,2,0.1302606
rezero_warm_g_aLR5,50,2,3,0.09777307
rezero_warm_g_aLR5,50,2,4,0.09017545
rezero_warm_g_aLR5,50,2,5,0.12139166
rezero_warm_g_aLR5,50,2,6,0.1680835
rezero_warm_g_aLR5,50,2,7,0.2097865
rezero_warm_g_aLR5,50,2,8,0.17788105
rezero_warm_g_aLR5,50,2,9,0.18200642
rezero_warm_g_aLR5,50,2,10,0.16312824
rezero_warm_g_aLR5,50,2,11,0.15354702
rezero_warm_g_aLR5,50,2,12,0.05906584
rezero_warm_g_aLR5,50,2,13,0.13488638
rezero_warm_g_aLR5,50,2,14,0.1682029
rezero_warm_g_aLR5,50,2,15,0.14723164
rezero_warm_g_aLR5,50,2,16,0.17055553
rezero_warm_g_aLR5,50,2,17,0.11122321
rezero_warm_g_aLR5,50,2,18,0.061706357
rezero_warm_g_aLR5,50,2,19,0.12152914
rezero_warm_g_aLR5,50,2,20,0.14010437
rezero_warm_g_aLR5,50,2,21,0.14302789
rezero_warm_g_aLR5,50,2,22,0.16448523
rezero_warm_g_aLR5,50,2,23,0.16362345
rezero_warm_g_aLR5,50,2,24,0.17612158
rezero_warm_g_aLR5,50,2,25,0.19338168
rezero_warm_g_aLR5,50,2,26,0.17501882
rezero_warm_g_aLR5,50,2,27,0.14752735
rezero_warm_g_aLR5,50,2,28,0.12940052
rezero_warm_g_aLR5,50,2,29,0.16976483
rezero_warm_g_aLR5,50,2,30,0.1451855
rezero_warm_g_aLR5,50,2,31,0.19105886
rezero_warm_g_aLR5,50,2,32,0.15314862
rezero_warm_g_aLR5,50,2,33,0.16076413
rezero_warm_g_aLR5,50,2,34,0.20709543
rezero_warm_g_aLR5,50,2,35,0.1470144
rezero_warm_g_aLR5,50,2,36,0.1830125
rezero_warm_g_aLR5,50,2,37,0.22917277
rezero_warm_g_aLR5,50,2,38,0.14981146
rezero_warm_g_aLR5,50,2,39,0.20096381
