depth,config,recenter,seed,far_acc,near_acc,init_loss,final_loss,max_absdz_init,max_absdz_trained,min_absz
2,B,false,1,1.0,1.0,1.8703833,0.33874878,0.0042561656,0.040334202,3.8942605e-7
2,B,false,2,1.0,0.9989583333333333,1.8771702,0.33473375,0.013049705,0.036050882,0.00023662997
4,B,false,1,1.0,0.9979166666666667,1.8837717,0.34340692,0.0057590487,0.0073939264,3.8942605e-7
4,B,false,2,1.0,1.0,1.8568157,0.1740391,0.008192905,0.015436479,0.00021064447
8,B,false,1,0.984375,1.0,1.8868091,0.16571216,0.037094902,0.125797,3.8942605e-7
8,B,false,2,1.0,1.0,1.8375183,0.2198312,0.01386847,0.010055427,0.00021064447
16,B,false,1,0.9833333333333333,0.9885416666666667,1.9153326,0.45763272,0.16832198,0.052953254,3.8942605e-7
16,B,false,2,1.0,1.0,1.8665102,0.1230614,0.0501898,0.0072928434,2.4630282e-5
